GEOID,county_name,state_name,year,median_home_value_with_mortgage,median_home_value_without_mortgage,pct_homeownership_black
18139,"Rush County, Indiana",Indiana,2023,164400,141200,0
18093,"Lawrence County, Indiana",Indiana,2023,176000,143300,40
48059,"Callahan County, Texas",Texas,2023,146300,143700,98.3
39047,"Fayette County, Ohio",Ohio,2023,168900,144800,44.7
46023,"Charles Mix County, South Dakota",South Dakota,2023,235100,150300,100
48011,"Armstrong County, Texas",Texas,2023,213200,157900,0
18147,"Spencer County, Indiana",Indiana,2023,188700,164800,40.6
21229,"Washington County, Kentucky",Kentucky,2023,166400,171300,36.2
08063,"Kit Carson County, Colorado",Colorado,2023,254700,177900,0
20087,"Jefferson County, Kansas",Kansas,2023,209400,189500,100
17019,"Champaign County, Illinois",Illinois,2023,211200,194600,26.5
51067,"Franklin County, Virginia",Virginia,2023,239600,201500,68.5
55129,"Washburn County, Wisconsin",Wisconsin,2023,207200,208900,0
12053,"Hernando County, Florida",Florida,2023,262200,211400,62.3
18043,"Floyd County, Indiana",Indiana,2023,238300,227800,24.9
47003,"Bedford County, Tennessee",Tennessee,2023,259800,246000,41.2
24011,"Caroline County, Maryland",Maryland,2023,277000,262600,43.9
51115,"Mathews County, Virginia",Virginia,2023,407700,288500,80.6
27031,"Cook County, Minnesota",Minnesota,2023,281100,314400,0
53041,"Lewis County, Washington",Washington,2023,358300,315000,37.1
41015,"Curry County, Oregon",Oregon,2023,412500,326200,0
51003,"Albemarle County, Virginia",Virginia,2023,474100,463900,44.5
48431,"Sterling County, Texas",Texas,2023,159400,0,0
48189,"Hale County, Texas",Texas,2023,150000,78400,57.8
30085,"Roosevelt County, Montana",Montana,2023,212500,95100,0
13289,"Twiggs County, Georgia",Georgia,2023,138500,95600,85.2
20037,"Crawford County, Kansas",Kansas,2023,154900,103300,26.3
17023,"Clark County, Illinois",Illinois,2023,136500,110700,0
46043,"Douglas County, South Dakota",South Dakota,2023,174000,111300,100
13079,"Crawford County, Georgia",Georgia,2023,167700,112700,68.2
17039,"De Witt County, Illinois",Illinois,2023,131200,115300,0
51071,"Giles County, Virginia",Virginia,2023,173200,117500,61.3
46045,"Edmunds County, South Dakota",South Dakota,2023,191600,118300,0
21085,"Grayson County, Kentucky",Kentucky,2023,183700,134100,0
18077,"Jefferson County, Indiana",Indiana,2023,192700,142000,43.4
28059,"Jackson County, Mississippi",Mississippi,2023,200800,142600,56.7
19055,"Delaware County, Iowa",Iowa,2023,171600,163200,0
39051,"Fulton County, Ohio",Ohio,2023,181600,167100,0
42025,"Carbon County, Pennsylvania",Pennsylvania,2023,197700,187400,52.8
37115,"Madison County, North Carolina",North Carolina,2023,295200,216200,100
55111,"Sauk County, Wisconsin",Wisconsin,2023,253800,223400,54.8
32007,"Elko County, Nevada",Nevada,2023,311400,224200,70.4
37011,"Avery County, North Carolina",North Carolina,2023,241900,226300,0
29019,"Boone County, Missouri",Missouri,2023,260500,241300,25.8
51193,"Westmoreland County, Virginia",Virginia,2023,241500,249800,73.5
21239,"Woodford County, Kentucky",Kentucky,2023,282900,256400,54.4
09150,"Northeastern Connecticut Planning Region, Connecticut",Connecticut,2023,281000,281900,49.3
19049,"Dallas County, Iowa",Iowa,2023,351000,285700,34.7
06115,"Yuba County, California",California,2023,406500,297200,61.8
49025,"Kane County, Utah",Utah,2023,345700,363700,0
36005,"Bronx County, New York",New York,2023,571800,401000,21
26089,"Leelanau County, Michigan",Michigan,2023,391200,428600,0
09190,"Western Connecticut Planning Region, Connecticut",Connecticut,2023,629000,616800,38.6
48301,"Loving County, Texas",Texas,2023,,0,0
20165,"Rush County, Kansas",Kansas,2023,97400,66800,0
17025,"Clay County, Illinois",Illinois,2023,120000,76200,0
28005,"Amite County, Mississippi",Mississippi,2023,118300,78500,78.2
38083,"Sheridan County, North Dakota",North Dakota,2023,159200,83900,0
12029,"Dixie County, Florida",Florida,2023,149700,92200,66.1
13197,"Marion County, Georgia",Georgia,2023,200200,101400,55.2
48133,"Eastland County, Texas",Texas,2023,152200,102200,48.9
21055,"Crittenden County, Kentucky",Kentucky,2023,125400,105100,77.6
42107,"Schuylkill County, Pennsylvania",Pennsylvania,2023,167500,110700,30.5
40019,"Carter County, Oklahoma",Oklahoma,2023,194600,110800,43.3
45027,"Clarendon County, South Carolina",South Carolina,2023,175900,115300,60.8
51730,"Petersburg city, Virginia",Virginia,2023,179400,125300,36
48037,"Bowie County, Texas",Texas,2023,183100,132600,40.2
18149,"Starke County, Indiana",Indiana,2023,152400,134800,83.7
48349,"Navarro County, Texas",Texas,2023,183100,135900,49.3
28145,"Union County, Mississippi",Mississippi,2023,184600,144200,45.3
01073,"Jefferson County, Alabama",Alabama,2023,251100,180800,50.7
47167,"Tipton County, Tennessee",Tennessee,2023,231400,186000,57.2
45079,"Richland County, South Carolina",South Carolina,2023,236300,194300,51.1
01081,"Lee County, Alabama",Alabama,2023,258400,203800,50.8
18109,"Morgan County, Indiana",Indiana,2023,225100,208800,100
42075,"Lebanon County, Pennsylvania",Pennsylvania,2023,236200,213800,25.9
38035,"Grand Forks County, North Dakota",North Dakota,2023,265000,220500,4.3
55009,"Brown County, Wisconsin",Wisconsin,2023,250200,237700,12.9
27027,"Clay County, Minnesota",Minnesota,2023,261200,245800,29
06031,"Kings County, California",California,2023,319500,265000,33.4
35043,"Sandoval County, New Mexico",New Mexico,2023,289200,267700,58.5
37125,"Moore County, North Carolina",North Carolina,2023,326900,290200,59.5
24047,"Worcester County, Maryland",Maryland,2023,358100,331500,42.5
55109,"St. Croix County, Wisconsin",Wisconsin,2023,351900,344500,26.3
13057,"Cherokee County, Georgia",Georgia,2023,395700,373700,54.3
25005,"Bristol County, Massachusetts",Massachusetts,2023,434700,392900,41
20127,"Morris County, Kansas",Kansas,2023,143500,93900,0
29227,"Worth County, Missouri",Missouri,2023,91500,95300,0
29221,"Washington County, Missouri",Missouri,2023,154000,97200,0
51590,"Danville city, Virginia",Virginia,2023,126600,97500,38.2
21235,"Whitley County, Kentucky",Kentucky,2023,166500,101000,0
01113,"Russell County, Alabama",Alabama,2023,191200,106500,53.9
54029,"Hancock County, West Virginia",West Virginia,2023,127500,111500,61.5
28003,"Alcorn County, Mississippi",Mississippi,2023,160600,111700,22.2
17053,"Ford County, Illinois",Illinois,2023,121600,113100,0
38027,"Eddy County, North Dakota",North Dakota,2023,114400,115700,0
01067,"Henry County, Alabama",Alabama,2023,169100,118300,66.1
13305,"Wayne County, Georgia",Georgia,2023,188800,120500,53.3
47033,"Crockett County, Tennessee",Tennessee,2023,153500,121700,53.3
48013,"Atascosa County, Texas",Texas,2023,174000,124900,45.1
48293,"Limestone County, Texas",Texas,2023,180500,134800,45.5
22047,"Iberville Parish, Louisiana",Louisiana,2023,212200,136300,62.1
01111,"Randolph County, Alabama",Alabama,2023,221000,137400,67.5
39035,"Cuyahoga County, Ohio",Ohio,2023,196600,161800,38.1
47137,"Pickett County, Tennessee",Tennessee,2023,155700,164300,0
18163,"Vanderburgh County, Indiana",Indiana,2023,176300,165000,30.2
31185,"York County, Nebraska",Nebraska,2023,180600,169500,0
16077,"Power County, Idaho",Idaho,2023,240900,170400,0
19027,"Carroll County, Iowa",Iowa,2023,174100,177900,100
55135,"Waupaca County, Wisconsin",Wisconsin,2023,199500,178100,0
22015,"Bossier Parish, Louisiana",Louisiana,2023,236300,179300,47.4
13237,"Putnam County, Georgia",Georgia,2023,239700,183900,87.5
27137,"St. Louis County, Minnesota",Minnesota,2023,224100,184200,28.8
12101,"Pasco County, Florida",Florida,2023,314800,191700,61
27161,"Waseca County, Minnesota",Minnesota,2023,224800,192100,59.5
19163,"Scott County, Iowa",Iowa,2023,222000,195300,28
51161,"Roanoke County, Virginia",Virginia,2023,275600,253000,46.3
06093,"Siskiyou County, California",California,2023,315900,259000,52.3
30111,"Yellowstone County, Montana",Montana,2023,334100,292300,19.8
30049,"Lewis and Clark County, Montana",Montana,2023,373300,324300,27.9
08067,"La Plata County, Colorado",Colorado,2023,581000,489200,71
13025,"Brantley County, Georgia",Georgia,2023,136300,53100,28.6
31133,"Pawnee County, Nebraska",Nebraska,2023,155900,56200,0
48137,"Edwards County, Texas",Texas,2023,,58300,0
48405,"San Augustine County, Texas",Texas,2023,89100,76100,55.4
19151,"Pocahontas County, Iowa",Iowa,2023,117500,80300,91.7
26071,"Iron County, Michigan",Michigan,2023,112500,87900,0
54015,"Clay County, West Virginia",West Virginia,2023,116300,102700,0
38087,"Slope County, North Dakota",North Dakota,2023,273600,106700,0
46009,"Bon Homme County, South Dakota",South Dakota,2023,170700,107500,0
36013,"Chautauqua County, New York",New York,2023,130600,108500,43.2
28117,"Prentiss County, Mississippi",Mississippi,2023,123000,109400,68.3
54075,"Pocahontas County, West Virginia",West Virginia,2023,170300,110500,0
02070,"Dillingham Census Area, Alaska",Alaska,2023,351600,114500,94.7
18045,"Fountain County, Indiana",Indiana,2023,147500,120600,0
27173,"Yellow Medicine County, Minnesota",Minnesota,2023,166300,132800,0
42105,"Potter County, Pennsylvania",Pennsylvania,2023,151000,141500,80.2
39143,"Sandusky County, Ohio",Ohio,2023,155900,146400,35.1
47007,"Bledsoe County, Tennessee",Tennessee,2023,178100,154900,100
39153,"Summit County, Ohio",Ohio,2023,207100,177300,39.2
56027,"Niobrara County, Wyoming",Wyoming,2023,217300,185200,0
47123,"Monroe County, Tennessee",Tennessee,2023,210600,191200,51
12003,"Baker County, Florida",Florida,2023,245600,198600,90.1
51097,"King and Queen County, Virginia",Virginia,2023,242000,232600,66.9
45045,"Greenville County, South Carolina",South Carolina,2023,289000,241900,44.6
02063,"Chugach Census Area, Alaska",Alaska,2023,396100,265900,54.9
51101,"King William County, Virginia",Virginia,2023,277700,272400,72.5
26093,"Livingston County, Michigan",Michigan,2023,344400,296000,43.3
41041,"Lincoln County, Oregon",Oregon,2023,397200,371000,23.8
08119,"Teller County, Colorado",Colorado,2023,446600,439600,82.2
08015,"Chaffee County, Colorado",Colorado,2023,593300,606800,0
48047,"Brooks County, Texas",Texas,2023,104000,61900,85
48437,"Swisher County, Texas",Texas,2023,123700,78000,14.3
37107,"Lenoir County, North Carolina",North Carolina,2023,135400,94100,44.2
47095,"Lake County, Tennessee",Tennessee,2023,114100,96800,31.9
35023,"Hidalgo County, New Mexico",New Mexico,2023,132100,100400,0
17081,"Jefferson County, Illinois",Illinois,2023,133100,105100,35.9
47139,"Polk County, Tennessee",Tennessee,2023,195700,105900,0
21087,"Green County, Kentucky",Kentucky,2023,119400,118700,98.4
28137,"Tate County, Mississippi",Mississippi,2023,221900,130400,61.8
48347,"Nacogdoches County, Texas",Texas,2023,186100,133800,29.9
48411,"San Saba County, Texas",Texas,2023,174200,151000,0
18161,"Union County, Indiana",Indiana,2023,167000,156000,100
54023,"Grant County, West Virginia",West Virginia,2023,167400,167700,100
42015,"Bradford County, Pennsylvania",Pennsylvania,2023,194300,168300,24.1
47173,"Union County, Tennessee",Tennessee,2023,195600,178800,0
29077,"Greene County, Missouri",Missouri,2023,210100,192300,22.7
39123,"Ottawa County, Ohio",Ohio,2023,205100,194000,95.5
19113,"Linn County, Iowa",Iowa,2023,210200,194200,30.8
13039,"Camden County, Georgia",Georgia,2023,243000,211100,45.1
55059,"Kenosha County, Wisconsin",Wisconsin,2023,258600,228100,27.1
48143,"Erath County, Texas",Texas,2023,266200,240200,0
29043,"Christian County, Missouri",Missouri,2023,254500,242700,66.5
25013,"Hampden County, Massachusetts",Massachusetts,2023,280400,268200,44.6
32019,"Lyon County, Nevada",Nevada,2023,360200,289900,63.8
34021,"Mercer County, New Jersey",New Jersey,2023,366800,321700,40.4
02100,"Haines Borough, Alaska",Alaska,2023,286900,349000,0
29211,"Sullivan County, Missouri",Missouri,2023,127700,85900,0
18153,"Sullivan County, Indiana",Indiana,2023,130500,97900,75.6
13081,"Crisp County, Georgia",Georgia,2023,146900,101900,24.7
36033,"Franklin County, New York",New York,2023,159200,107200,0
48313,"Madison County, Texas",Texas,2023,219800,109800,57.7
20043,"Doniphan County, Kansas",Kansas,2023,141400,112500,81.8
51143,"Pittsylvania County, Virginia",Virginia,2023,166700,136300,69.7
31139,"Pierce County, Nebraska",Nebraska,2023,210600,141300,94.2
38071,"Ramsey County, North Dakota",North Dakota,2023,214500,160500,64.5
30015,"Chouteau County, Montana",Montana,2023,214600,162700,0
20067,"Grant County, Kansas",Kansas,2023,135300,170600,0
22019,"Calcasieu Parish, Louisiana",Louisiana,2023,225500,181500,51.9
30055,"McCone County, Montana",Montana,2023,225900,187800,0
39097,"Madison County, Ohio",Ohio,2023,242500,193400,75.9
55061,"Kewaunee County, Wisconsin",Wisconsin,2023,206600,211900,85.3
02068,"Denali Borough, Alaska",Alaska,2023,328900,222000,0
16073,"Owyhee County, Idaho",Idaho,2023,328300,227000,0
